,index,hospital_name,hospital_ownership,hospital_type,lat,lng,address,city,emergency_services,subtotal_acute_utilization,payroll_employees,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison,state
1977,1977,WESTERLY HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,41.362798,-71.825814,25 WELLS STREET,WESTERLY,True,39.0,407.83,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Rhode Island
1978,1978,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,Government - Hospital District or Authority,Acute Care Hospitals,31.173785,-81.484516,2415 PARKWOOD DRIVE,BRUNSWICK,True,60.0,1310.72,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Georgia
1979,1979,WELLSPAN SURGERY AND REHABILITATION HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,39.923277,-76.716898,55 MONUMENT ROAD,YORK,False,14.0,269.26,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available,Pennsylvania
1980,1980,AURELIA OSBORN FOX MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,42.4578897,-75.0522916,ONE NORTON AVENUE,ONEONTA,True,37.0,652.4,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,New York
1981,1981,NYACK HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,41.095251,-73.925253,160 NORTH MIDLAND AVENUE,NYACK,True,74.0,1395.5,2,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,New York
1982,1982,KEARNEY REGIONAL MEDICAL CENTER,Proprietary,Acute Care Hospitals,40.6975,-99.0931,804 22ND AVENUE,KEARNEY,True,37.0,585.34,3,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Nebraska
1983,1983,FLUSHING HOSPITAL MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,40.755636,-73.815645,45TH AVENUE AND PARSONS BOULEVARD,FLUSHING,True,67.0,1728.3,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Not Available,New York
1984,1984,CLIFTON FINE HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,44.162953,-75.055964,1014 OSWEGATCHIE TRAIL,STAR LAKE,True,75.0,98.33,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York
1985,1985,PHOENIXVILLE HOSPITAL,Proprietary,Acute Care Hospitals,40.133387,-75.538053,140 NUTT ROAD,PHOENIXVILLE,True,57.0,691.73,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Pennsylvania
1986,1986,BEACHAM MEMORIAL HOSPITAL,Proprietary,Acute Care Hospitals,31.145626,-90.45929,205 N CHERRY STREET,MAGNOLIA,False,20.0,53.51,Not Available,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Not Available,Not Available,Mississippi
1987,1987,GENESIS MEDICAL CENTER-DAVENPORT,Voluntary non-profit - Private,Acute Care Hospitals,41.542837,-90.556958,1227 EAST RUSHOLME STREET,DAVENPORT,True,56.0,1317.19,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Iowa
1988,1988,CENTRAL MAINE MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,44.100976,-70.214557,300 MAIN STREET,LEWISTON,True,52.0,1500.0,2,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Maine
1989,1989,NORTH SHORE UNIVERSITY HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,40.779269,-73.703029,300 COMMUNITY DRIVE,MANHASSET,True,102.0,12084.5,3,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,New York
1990,1990,ST CHRISTOPHER'S HOSPITAL FOR CHILDREN,Proprietary,Childrens,40.007493,-75.125535,160 EAST ERIE AVE,PHILADELPHIA,True,49.0,826.59,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Pennsylvania
1991,1991,SCOTTSDALE SHEA MEDICAL CENTER,Proprietary,Acute Care Hospitals,33.582467,-111.886032,9003 EAST SHEA BOULEVARD,SCOTTSDALE,True,57.0,2053.66,4,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Arizona
1992,1992,HEALDSBURG DISTRICT HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,38.626583,-122.863741,1375 UNIVERSITY AVENUE,HEALDSBURG,True,31.0,263.93,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Same as the national average,California
1993,1993,ASCENSION SACRED HEART BAY,Government - Hospital District or Authority,Acute Care Hospitals,30.159681,-85.647067,615 N BONITA AVE,PANAMA CITY,True,56.0,1180.31,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Florida
1994,1994,BINGHAM MEMORIAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,43.192952,-112.347442,98 POPLAR STREET,BLACKFOOT,True,72.0,736.3,2,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Idaho
1995,1995,"SAINT FRANCIS HOSPITAL SOUTH, LLC",Voluntary non-profit - Private,Acute Care Hospitals,36.03189,-95.85692,10501 EAST 91ST STREET SOUTH,TULSA,True,65.0,535.56,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Oklahoma
1996,1996,FITZGIBBON HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,39.0917436,-93.2127743,2305 S 65 HIGHWAY,MARSHALL,True,30.0,377.9,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Missouri
1997,1997,ST JOSEPH'S UNIVERSITY MEDICAL CENTER,Voluntary non-profit - Church,Acute Care Hospitals,40.902456,-74.166751,703 MAIN ST,PATERSON,True,75.0,4524.02,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,New Jersey
1998,1998,RIVERSIDE COMMUNITY HOSPITAL,Proprietary,Acute Care Hospitals,33.975677,-117.380374,4445 MAGNOLIA AVENUE,RIVERSIDE,True,70.0,1918.74,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,California
1999,1999,DOCTORS MEDICAL CENTER,Proprietary,Acute Care Hospitals,37.665666,-120.99625,1441 FLORIDA AVENUE,MODESTO,True,85.0,1909.4,2,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,California
2000,2000,MOUNTAINVIEW HOSPITAL,Proprietary,Acute Care Hospitals,36.2156,-115.250795,3100 N TENAYA WAY,LAS VEGAS,True,81.0,1527.35,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Nevada
2001,2001,ONEIDA HEALTH HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,43.078755,-75.654264,321 GENESEE STREET,ONEIDA,True,27.0,870.3,3,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,New York
2002,2002,NORTHERN WESTCHESTER HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,41.196692,-73.724449,400 EAST MAIN STREET,MOUNT KISCO,True,58.0,1418.0,2,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,New York
2003,2003,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER,Voluntary non-profit - Church,Acute Care Hospitals,43.154652,-79.030462,5300 MILITARY ROAD,LEWISTON,True,61.0,677.71,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,New York
2004,2004,ERIE COUNTY MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,42.927236,-78.829151,462 GRIDER STREET,BUFFALO,True,82.0,3363.17,3,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,New York
2005,2005,WESTCHESTER MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,41.08768,-73.803897,100 WOODS RD,VALHALLA,True,75.0,3783.57,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,New York
2006,2006,CAROLINAS HEALTHCARE SYSTEM NORTHEAST,Government - Hospital District or Authority,Acute Care Hospitals,35.434313,-80.603088,920 CHURCH ST N,CONCORD,True,67.0,2556.8,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,North Carolina
2007,2007,MEMORIAL HERMANN HOSPITAL SYSTEM,Voluntary non-profit - Private,Acute Care Hospitals,29.812266,-95.430899,1635  NORTH LOOP WEST,HOUSTON,True,69.0,6494.14,2,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Texas
2008,2008,MEMORIAL HERMANN TEXAS MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,29.713684,-95.397627,6411 FANNIN,HOUSTON,True,73.0,5844.99,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Texas
2009,2009,SOVAH HEALTH DANVILLE,Proprietary,Acute Care Hospitals,36.577072,-79.40481,142 SOUTH MAIN STREET,DANVILLE,True,51.0,1613.08,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Virginia
